Iteration x lambda
1 1.5565958325583489 1.5565958325583489
2 0.6457405492997779 0.910855283258571
3 0.5587807212109024 0.7115095676111958
4 0.37341961419403924 0.5657891110853001
5 0.3312882246301109 0.46605242862643786
6 0.2940633193838087 0.41085316875911726
7 0.3153618531966267 0.36295936802767753
8 0.3073760195655688 0.2849656686291733
9 0.2797696213103815 0.1677280562793586
10 0.242806486921622 0.13980535715438647
11 0.1990111235880654 0.13799180047627058
12 0.19570942556756046 0.11937377549435446
13 0.18494866688273628 0.09938991597829566
14 0.16051417443861365 0.07738382832444658
15 0.12825022586241291 0.05382151271509136
16 0.09468104837940594 0.033037194170310036
17 0.05245906602845138 0.0382232172174215
18 0.026395845890352737 0.041833428312642695
19 0.006664764845397464 0.043218410435944765
20 0.00814690645563726 0.03803936353730464
21 0.015047358669236649 0.03269818091415422
22 0.017917352734059866 0.025026473975460206
23 0.01715203267418508 0.020629448722365495
24 0.015467529005508185 0.019900369026262466
25 0.017608898332985068 0.017670550724263823
26 0.013302702535463007 0.013091301981591474
27 0.012583617792758822 0.01090653778805617
28 0.011422967283010621 0.012900249124537355
29 0.012992176384281962 0.00974055976109267
30 0.012342314935638532 0.003150229602625898
31 0.008907119104495376 0.006265832937480731
