t x1 x2 u1
0.0 -2.0 1.0 -0.0
0.01 -1.9796996708333334 1.03004916375 1.0
0.02 -1.9588977328495785 1.0501434546595154 1.0
0.03 -1.9376939934773176 1.0702286177243179 1.0
0.04 -1.9160886764969025 1.0903005240904349 1.0
0.05 -1.8940820886548093 1.1103550060728178 1.0
0.06 -1.8716746204358083 1.1303878576027884 1.0
0.07 -1.8488667468260593 1.1503948346876955 1.0
0.08 -1.8256590280668925 1.170371655882817 1.0
0.09 -1.8020521103990286 1.1903140027755288 1.0
0.1 -1.7780467267969928 1.2102175204817731 1.0
0.11 -1.7536436976934766 1.2300778181548462 1.0
0.12 -1.728843931693399 1.2498904695065274 1.0
0.13 -1.7036484262774239 1.26965101334057 1.0
0.14 -1.6780582684946808 1.289354954098571 2.0
0.15 -1.652174968144448 1.2989479303348974 2.0
0.16 -1.6261014491297385 1.308376229062008 2.0
0.17 -1.5998410404982977 1.317636300155456 2.0
0.18 -1.573397142320168 1.3267245916252042 2.0
0.19 -1.5467732257180618 1.335637550310825 2.0
0.2 -1.5199728328837554 1.3443716225839228 2.0
0.21 -1.4929995770803666 1.3529232550577104 2.0
0.22 -1.4658571426303655 1.361288895303668 2.0
0.23 -1.4385492848891863 1.3694649925752114 2.0
0.24 -1.411079830204292 1.377447998538297 2.0
0.25 -1.3834526758595609 1.3852343680088826 2.0
0.26 -1.355671790004857 1.3928205596971663 2.0
0.27 -1.3277412115706446 1.4002030369585257 3.0
0.28 -1.2997653826675215 1.397328436467733 3.0
0.29 -1.2718501391537302 1.3941440827576868 3.0
0.3 -1.2440017008862685 1.3906475028118501 3.0
0.31 -1.2162263368048825 1.3868362615169287 3.0
0.32 -1.1885303641652991 1.3827079625332597 3.0
0.33 -1.1609201477550422 1.3782602491661602 3.0
0.34 -1.1334020990918114 1.373490805238061 3.0
0.35000000000000003 -1.1059826756044147 1.3683973559612594 3.0
0.36 -1.0786683797962386 1.3629776688111304 3.0
0.37 -1.0514657583912528 1.3572295543996125 3.0
0.38 -1.024381401462542 1.3511508673488062 3.0
0.39 -0.9974219415433686 1.3447395071645019 3.0
0.4 -0.9705940527207634 1.3379934191094702 3.0
0.41000000000000003 -0.9439044497116583 1.3309105950763285 3.0
0.42 -0.917359886921565 1.3234890744598073 3.0
0.43 -0.8909671574858159 1.3157269450282387 3.0
0.44 -0.8647330922933856 1.3076223437940753 3.0
0.45 -0.8386645589933126 1.299173457883262 3.0
0.46 -0.8127684609837468 1.290378525403275 3.0
0.47000000000000003 -0.7870517363836507 1.2812358363096332 3.0
0.48 -0.7615213569871881 1.2717437332706996 3.0
0.49 -0.7361843272008344 1.2619006125305767 3.0
0.5 -0.7110476829632499 1.251704924769908 3.0
0.51 -0.6861184906479612 1.2411551759643864 3.0
0.52 -0.661403845948894 1.2302499282407782 3.0
0.53 -0.6369108727488149 1.218987800730263 3.0
0.54 -0.6126467219707328 1.2073674704188921 4.0
0.55 -0.588718902912323 1.1853378409116322 4.0
0.56 -0.5652362727466309 1.1628485570511116 4.0
0.5700000000000001 -0.5422080257048753 1.139899519580151 4.0
0.58 -0.5196433570908304 1.1164907206544918 4.0
0.59 -0.49755146144335016 1.0926222447630884 4.0
0.6 -0.4759415306805773 1.0682942696390891 4.0
0.61 -0.4548227522260301 1.0435070671612319 4.0
0.62 -0.4342043071167583 1.0182610042453757 4.0
0.63 -0.4140953680937697 0.9925565437258898 4.0
0.64 -0.3945050976749326 0.9663942452266205 4.0
0.65 -0.3754426462105657 0.9397747660211575 4.0
0.66 -0.3569171499219318 0.9126988618821175 4.0
0.67 -0.33893772892285773 0.8851673879191665 3.0
0.68 -0.3214131527247097 0.8672311314888296 3.0
0.6900000000000001 -0.3042508475417602 0.8489402992344895 3.0
0.7000000000000001 -0.28745790388143644 0.8302950040670046 3.0
0.71 -0.2710414092702873 0.8112954312790484 3.0
0.72 -0.2550084467994318 0.791941839235316 3.0
0.73 -0.23936609365628111 0.7722345600549779 3.0
0.74 -0.22412141964269072 0.7521740002861697 3.0
0.75 -0.20928148567970417 0.7317606415722985 4.0
0.76 -0.19495367479905448 0.7009452092266202 4.0
0.77 -0.18124668130478874 0.669679186656186 4.0
0.78 -0.16816949962094094 0.6379643298242299 4.0
0.79 -0.15573108797484062 0.605802502557393 4.0
0.8 -0.14394036623272655 0.5731956772551388 4.0
0.81 -0.13280621372131815 0.5401459355844763 4.0
0.8200000000000001 -0.12233746703564201 0.5066554691597025 4.0
0.8300000000000001 -0.1125429178334157 0.47272658020687575 3.0
0.84 -0.10333097811629717 0.4484115142960689 3.0
0.85 -0.09460868731511786 0.42376194719979493 3.0
0.86 -0.0863827196636692 0.3987794716880333 3.0
0.87 -0.0786597167119583 0.3734657634529568 3.0
0.88 -0.0714462856627791 0.347822581605499 3.0
0.89 -0.06474899769846928 0.32185176916014563 3.0
0.9 -0.05857438629809125 0.2955552535077334 3.0
0.91 -0.052928945545278515 0.2689350468760407 3.0
0.92 -0.047819128426994414 0.24199324677795553 3.0
0.93 -0.04325134512345332 0.21473203644700495 3.0
0.9400000000000001 -0.0392319612894595 0.18715368526003176 3.0
0.9500000000000001 -0.03576729632742275 0.15926054914680463 3.0
0.96 -0.0328636216523143 0.1310550709863476 3.0
0.97 -0.030527158948830624 0.10253978098977597 3.0
0.98 -0.028764078421037342 0.07371729706942581 3.0
0.99 -0.027580497034769308 0.04459032519406579 3.0
1.0 -0.026982476753067388 0.01516165972997916 3.0
